company_name,slope_diff,city,county,state,pct_lead,winner,sector,sub_industry
Arthur J. Gallagher & Co.,-0.0002,Itasca,DuPage,Illinois,0.1408,Clinton,Financials,Insurance Brokers
Assurant Inc,0.0055,New York,Rockland,New York,0.0509,Clinton,Financials,Multi-line Insurance
AutoNation Inc,0.0173,Fort Lauderdale,Broward,Florida,0.3505,Clinton,Consumer Discretionary,Specialty Stores
AutoZone Inc,0.001,Memphis,Shelby,Tennessee,0.1678,Clinton,Consumer Discretionary,Specialty Stores
Autodesk Inc,-0.0062,San Rafael,Marin,California,0.6276,Clinton,Information Technology,Application Software
Automatic Data Processing,-0.0001,Roseland,Essex,New Jersey,0.2141,Clinton,Information Technology,Internet Software & Services
AvalonBay Communities Inc.,-0.0032,Arlington,Arlington,Virginia,0.601,Clinton,Real Estate,Residential REITs
Avery Dennison Corp,-0.0047,Glendale,Los Angeles,California,0.4805,Clinton,Materials,Paper Packaging
BB&T Corporation,0.0069,Winston Salem,Forsyth,North Carolina,0.1812,Clinton,Financials,Banks
BIOGEN IDEC Inc.,-0.0107,Weston,Middlesex,Massachusetts,0.0513,Clinton,Health Care,Biotechnology
Baker Hughes Inc,-0.0102,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Equipment & Services
Ball Corp,-0.0068,Broomfield,Jefferson,Colorado,0.0523,Clinton,Materials,Metal & Glass Containers
Bank of America Corp,0.0122,Charlotte,Mecklenburg,North Carolina,0.087,Clinton,Financials,Banks
Baxter International Inc.,-0.0098,Deerfield,Lake,Illinois,0.203,Clinton,Health Care,Health Care Equipment
Becton Dickinson,-0.0213,Franklin Lakes,Bergen,New Jersey,0.1199,Clinton,Health Care,Health Care Equipment
Bed Bath & Beyond,0.0123,Union,Union,New Jersey,0.1553,Clinton,Consumer Discretionary,Specialty Stores
Berkshire Hathaway,0.0012,Omaha,Douglas,Nebraska,0.1993,Clinton,Financials,Multi-Sector Holdings
BlackRock,-0.0056,New York,Rockland,New York,0.0509,Clinton,Financials,Asset Management & Custody Banks
Block H&R,0.0188,Kansas City,Jackson,Missouri,0.3321,Clinton,Financials,Consumer Finance
Boeing Company,0.0014,Chicago,Cook,Illinois,0.0523,Clinton,Industrials,Aerospace & Defense
BorgWarner,-0.0042,Auburn Hills,Oakland,Michigan,0.0812,Clinton,Consumer Discretionary,Auto Parts & Equipment
Boston Properties,0.0025,Boston,Suffolk,Massachusetts,0.2699,Clinton,Real Estate,REITs
Boston Scientific,-0.0122,Marlborough,Middlesex,Massachusetts,0.0513,Clinton,Health Care,Health Care Equipment
Bristol-Myers Squibb,-0.0074,New York,Rockland,New York,0.0509,Clinton,Health Care,Health Care Distributors
Broadcom,-0.0109,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductors
Brown-Forman Corporation,-0.0039,Louisville,Jefferson,Kentucky,0.0523,Clinton,Consumer Staples,Distillers & Vintners
C. H. Robinson Worldwide,0.0007,Eden Prairie,Hennepin,Minnesota,0.3531,Clinton,Industrials,Air Freight & Logistics
CA Inc.,-0.0058,Islandia,Suffolk,New York,0.2699,Clinton,Information Technology,Systems Software
CBRE Group,-0.001,Los Angeles,Los Angeles,California,0.4805,Clinton,Real Estate,Real Estate Services
CBS Corp.,-0.0025,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Broadcasting & Cable TV
CF Industries Holdings Inc,0.0089,Deerfield,Lake,Illinois,0.203,Clinton,Materials,Fertilizers & Agricultural Chemicals
CIGNA Corp.,-0.0117,Philadelphia,Philadelphia,Pennsylvania,0.6691,Clinton,Health Care,Managed Health Care
CME Group Inc.,-0.0023,Chicago,Cook,Illinois,0.0523,Clinton,Financials,Financial Exchanges & Data
CMS Energy,-0.0047,Jackson,Jackson,Michigan,0.3321,Clinton,Utilities,MultiUtilities
CSRA Inc.,0.0152,Falls Church,Falls Church (city),Virginia,0.5852,Clinton,Information Technology,IT Consulting & Other Services
CSX Corp.,-0.003,Jacksonville,Duval,Florida,0.1792,Clinton,Industrials,Railroads
CVS Health,0.0091,Woonsocket,Providence,Rhode Island,0.2117,Clinton,Consumer Staples,Drug Retail
Cabot Oil & Gas,0.0003,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Campbell Soup,-0.0054,Camden,Camden,New Jersey,0.1079,Clinton,Consumer Staples,Packaged Foods & Meats
Cardinal Health Inc.,0.0091,Dublin,Franklin,Ohio,0.1909,Clinton,Health Care,Health Care Distributors
Carmax Inc,0.0142,Richmond,Henrico,Virginia,0.2096,Clinton,Consumer Discretionary,Specialty Stores
Carnival Corp.,0.0006,Miami,Miami-Dade,Florida,0.2957,Clinton,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Caterpillar Inc.,-0.0018,Peoria,Peoria,Illinois,0.0276,Clinton,Industrials,Construction & Farm Machinery & Heavy Trucks
Celgene Corp.,-0.0077,Summit,Union,New Jersey,0.1553,Clinton,Health Care,Biotechnology
CenterPoint Energy,-0.0115,Houston,Harris,Texas,0.1857,Clinton,Utilities,MultiUtilities
Charles Schwab Corporation,0.0081,San Francisco,San Mateo,California,0.5721,Clinton,Financials,Investment Banking & Brokerage
Charter Communications,-0.0119,Stamford,Fairfield,Connecticut,0.0045,Clinton,Consumer Discretionary,Cable & Satellite
Chevron Corp.,-0.0023,San Ramon,Contra Costa,California,0.4291,Clinton,Energy,Integrated Oil & Gas
Chipotle Mexican Grill,0.0094,Denver,Jefferson,Colorado,0.0523,Clinton,Consumer Discretionary,Restaurants
Cimarex Energy,0.009,Denver,Jefferson,Colorado,0.0523,Clinton,Energy,Oil & Gas Exploration & Production
Cintas Corporation,-0.0016,Mason,Warren,Ohio,0.0803,Clinton,Industrials,Diversified Support Services
Cisco Systems,-0.0011,San Jose,Santa Clara,California,0.5238,Clinton,Information Technology,Networking Equipment
Citigroup Inc.,0.0042,New York,Rockland,New York,0.0509,Clinton,Financials,Banks
Citizens Financial Group,0.0075,Providence,Providence,Rhode Island,0.2117,Clinton,Financials,Banks
Citrix Systems,-0.0059,Fort Lauderdale,Broward,Florida,0.3505,Clinton,Information Technology,Internet Software & Services
Coach Inc.,0.0023,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Coca Cola Company,-0.0047,Atlanta,Fulton,Georgia,0.1495,Clinton,Consumer Staples,Soft Drinks
Cognizant Technology Solutions,-0.0082,Teaneck,Bergen,New Jersey,0.1199,Clinton,Information Technology,IT Consulting & Other Services
Colgate-Palmolive,-0.0072,New York,Rockland,New York,0.0509,Clinton,Consumer Staples,Household Products
Comcast A Corp,0.0067,Philadelphia,Philadelphia,Pennsylvania,0.6691,Clinton,Consumer Discretionary,Cable & Satellite
Comerica Inc.,0.009,Dallas,Dallas,Texas,0.1075,Clinton,Financials,Regional Banks
ConAgra Foods Inc.,-0.0422,Omaha,Douglas,Nebraska,0.1993,Clinton,Consumer Staples,Packaged Foods & Meats
ConocoPhillips,-0.0055,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Consolidated Edison,-0.0068,New York,Rockland,New York,0.0509,Clinton,Utilities,Electric Utilities
Costco Co.,0.007,Issaquah,King,Washington,0.5052,Clinton,Consumer Staples,Hypermarkets & Super Centers
Coty Inc,-0.0066,New York,Rockland,New York,0.0509,Clinton,Consumer Staples,Personal Products
Crown Castle International Corp.,-0.0087,Houston,Harris,Texas,0.1857,Clinton,Real Estate,REITs
DTE Energy Co.,-0.0038,Detroit,Wayne,Michigan,0.1937,Clinton,Utilities,MultiUtilities
DaVita Inc.,0.0027,Denver,Jefferson,Colorado,0.0523,Clinton,Health Care,Health Care Facilities
Danaher Corp.,-0.0059,Washington,District of Columbia,District of Columbia,0.8873,Clinton,Industrials,Industrial Machinery
Darden Restaurants,0.007,Orlando,Orange,Florida,0.0589,Clinton,Consumer Discretionary,Restaurants
Deere & Co.,0.0008,Moline,Rock Island,Illinois,0.084,Clinton,Industrials,Construction & Farm Machinery & Heavy Trucks
Delta Air Lines,-0.0016,Atlanta,Fulton,Georgia,0.1495,Clinton,Industrials,Airlines
Dentsply Sirona,-0.0097,York,York,Pennsylvania,0.2591,Clinton,Health Care,Health Care Supplies
Digital Realty Trust,-0.0119,San Francisco,San Mateo,California,0.5721,Clinton,Real Estate,Specialized REITs
Discovery Communications-A,0.0112,Silver Spring,Montgomery,Maryland,0.0016,Clinton,Consumer Discretionary,Cable & Satellite
Discovery Communications-C,0.0091,Silver Spring,Montgomery,Maryland,0.0016,Clinton,Consumer Discretionary,Cable & Satellite
Dollar General,0.0089,Goodlettsville,Davidson,Tennessee,0.1311,Clinton,Consumer Discretionary,General Merchandise Stores
Dominion Resources,-0.0068,Richmond,Henrico,Virginia,0.2096,Clinton,Utilities,Electric Utilities
Dover Corp.,0.0007,Downers Grove,DuPage,Illinois,0.1408,Clinton,Industrials,Industrial Machinery
Du Pont (E.I.),-0.0074,Wilmington,New Castle,Delaware,0.296,Clinton,Materials,Diversified Chemicals
Duke Energy,-0.006,Charlotte,Mecklenburg,North Carolina,0.087,Clinton,Utilities,Electric Utilities
Dun & Bradstreet,0.0,Short Hills,Essex,New Jersey,0.2141,Clinton,Industrials,Data Processing Services
E*Trade,0.01,New York,Rockland,New York,0.0509,Clinton,Financials,Investment Banking & Brokerage
EOG Resources,-0.0029,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
EQT Corporation,0.0049,Pittsburgh,Allegheny,Pennsylvania,0.1641,Clinton,Energy,Oil & Gas Exploration & Production
Ecolab Inc.,-0.004,Saint Paul,Washington,Minnesota,0.1676,Clinton,Materials,Specialty Chemicals
Edison Int'l,-0.0044,Rosemead,Los Angeles,California,0.4805,Clinton,Utilities,Electric Utilities
Edwards Lifesciences,-0.0143,Irvine,Orange,California,0.0589,Clinton,Health Care,Health Care Equipment
Electronic Arts,-0.0069,Redwood City,San Mateo,California,0.5721,Clinton,Information Technology,Home Entertainment Software
Entergy Corp.,-0.0009,New Orleans,Orleans,Louisiana,0.2211,Clinton,Utilities,Electric Utilities
Envision Healthcare Corp,0.0057,Nashville,Davidson,Tennessee,0.1311,Clinton,Health Care,Health Care Services
Equifax Inc.,-0.012,Atlanta,Fulton,Georgia,0.1495,Clinton,Financials,Diversified Financial Services
Equinix,-0.0102,Redwood City,San Mateo,California,0.5721,Clinton,Real Estate,REITs
Equity Residential,-0.0062,Chicago,Cook,Illinois,0.0523,Clinton,Real Estate,REITs
Essex Property Trust Inc.,-0.0033,Palo Alto,Santa Clara,California,0.5238,Clinton,Real Estate,Residential REITs
Estee Lauder Cos.,-0.003,New York,Rockland,New York,0.0509,Clinton,Consumer Staples,Personal Products
Eversource Energy,-0.0071,Springfield,Hampden,Massachusetts,0.1603,Clinton,Utilities,MultiUtilities
Exelon Corp.,-0.0043,Chicago,Cook,Illinois,0.0523,Clinton,Utilities,MultiUtilities
Expedia Inc.,-0.0085,Bellevue,King,Washington,0.5052,Clinton,Consumer Discretionary,Internet & Direct Marketing Retail
Expeditors Int'l,0.0063,Seattle,King,Washington,0.5052,Clinton,Industrials,Air Freight & Logistics
Extra Space Storage,-0.0119,Salt Lake City,Salt Lake,Utah,0.1251,Clinton,Real Estate,Specialized REITs
Exxon Mobil Corp.,-0.0046,Irving,Dallas,Texas,0.1075,Clinton,Energy,Integrated Oil & Gas
F5 Networks,0.0026,Seattle,King,Washington,0.5052,Clinton,Information Technology,Networking Equipment
FLIR Systems,0.0101,Wilsonville,Clackamas,Oregon,0.0611,Clinton,Industrials,Aerospace & Defense
FMC Corporation,-0.0227,Philadelphia,Philadelphia,Pennsylvania,0.6691,Clinton,Materials,Diversified Chemicals
FMC Technologies Inc.,0.0021,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Equipment & Services
Facebook,-0.0072,Menlo Park,San Mateo,California,0.5721,Clinton,Information Technology,Internet Software & Services
FedEx Corporation,-0.0041,Memphis,Shelby,Tennessee,0.1678,Clinton,Industrials,Air Freight & Logistics
Federal Realty Investment Trust,-0.0032,Rockville,Montgomery,Maryland,0.0016,Clinton,Real Estate,Retail REITs
Fidelity National Information Services,-0.0087,Jacksonville,Duval,Florida,0.1792,Clinton,Information Technology,Internet Software & Services
Fifth Third Bancorp,0.0154,Cincinnati,Hamilton,Ohio,0.3213,Clinton,Financials,Banks
FirstEnergy Corp,-0.0118,Akron,Summit,Ohio,0.1534,Clinton,Utilities,Electric Utilities
Flowserve Corporation,0.0024,Irving,Dallas,Texas,0.1075,Clinton,Industrials,Industrial Machinery
Fluor Corp.,0.0335,Irving,Dallas,Texas,0.1075,Clinton,Industrials,Diversified Commercial Services
Foot Locker Inc,-0.0004,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Apparel Retail
Ford Motor,0.0041,Dearborn,Wayne,Michigan,0.1937,Clinton,Consumer Discretionary,Automobile Manufacturers
Fortive Corp,-0.0052,Everett,Snohomish,Washington,0.1669,Clinton,Industrials,Industrial Machinery
Fortune Brands Home & Security,0.0006,Deerfield,Lake,Illinois,0.203,Clinton,Industrials,Building Products
Franklin Resources,-0.003,San Mateo,San Mateo,California,0.5721,Clinton,Financials,Asset Management & Custody Banks
Frontier Communications,0.0088,Stamford,Fairfield,Connecticut,0.0045,Clinton,Telecommunications Services,Integrated Telecommunications Services
Gap (The),0.012,San Francisco,San Mateo,California,0.5721,Clinton,Consumer Discretionary,Apparel Retail
General Dynamics,0.0024,Falls Church,Falls Church (city),Virginia,0.5852,Clinton,Industrials,Aerospace & Defense
General Electric,-0.0008,Fairfield,Fairfield,Connecticut,0.0045,Clinton,Industrials,Industrial Conglomerates
General Growth Properties Inc.,0.0022,Chicago,Cook,Illinois,0.0523,Clinton,Real Estate,REITs
General Motors,0.0081,Detroit,Wayne,Michigan,0.1937,Clinton,Consumer Discretionary,Automobile Manufacturers
Genuine Parts,0.0085,Atlanta,Fulton,Georgia,0.1495,Clinton,Consumer Discretionary,Specialty Stores
Global Payments Inc,-0.0172,Atlanta,Fulton,Georgia,0.1495,Clinton,Information Technology,Data Processing & Outsourced Services
Goldman Sachs Group,0.0086,New York,Rockland,New York,0.0509,Clinton,Financials,Investment Banking & Brokerage
Goodyear Tire & Rubber,0.0095,Akron,Summit,Ohio,0.1534,Clinton,Consumer Discretionary,Tires & Rubber
Grainger (W.W.) Inc.,-0.0048,Lake Forest,Lake,Illinois,0.203,Clinton,Industrials,Industrial Materials
HCA Holdings,-0.0128,Nashville,Davidson,Tennessee,0.1311,Clinton,Health Care,Health Care Facilities
HCP Inc.,-0.0008,Long Beach,Los Angeles,California,0.4805,Clinton,Real Estate,REITs
HP Inc.,-0.0014,Palo Alto,Santa Clara,California,0.5238,Clinton,Information Technology,Computer Hardware
Halliburton Co.,-0.0007,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Equipment & Services
Hanesbrands Inc,0.0061,Winston Salem,Forsyth,North Carolina,0.1812,Clinton,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Harley-Davidson,-0.0039,Milwaukee,Milwaukee,Wisconsin,0.3745,Clinton,Consumer Discretionary,Motorcycle Manufacturers
Harman Int'l Industries,0.027,Stamford,Fairfield,Connecticut,0.0045,Clinton,Consumer Discretionary,Consumer Electronics
Hartford Financial Svc.Gp.,0.0056,Hartford,Hartford,Connecticut,0.2151,Clinton,Financials,Property & Casualty Insurance
Hasbro Inc.,0.0016,Pawtucket,Providence,Rhode Island,0.2117,Clinton,Consumer Discretionary,Leisure Products
Henry Schein,-0.0002,Melville,Suffolk,New York,0.2699,Clinton,Health Care,Health Care Distributors
Hess Corporation,-0.0012,New York,Rockland,New York,0.0509,Clinton,Energy,Integrated Oil & Gas
Hewlett Packard Enterprise,-0.0076,Palo Alto,Santa Clara,California,0.5238,Clinton,Information Technology,Technology Hardware / Storage & Peripherals
Hologic,-0.0149,Marlborough,Middlesex,Massachusetts,0.0513,Clinton,Health Care,Health Care Equipment
Home Depot,-0.007,Atlanta,Fulton,Georgia,0.1495,Clinton,Consumer Discretionary,Home Improvement Retail
Host Hotels & Resorts,0.0039,Bethesda,Montgomery,Maryland,0.0016,Clinton,Real Estate,REITs
Humana Inc.,0.0003,Louisville,Jefferson,Kentucky,0.0523,Clinton,Health Care,Managed Health Care
Huntington Bancshares,0.0122,Columbus,Franklin,Ohio,0.1909,Clinton,Financials,Banks
Illinois Tool Works,-0.0019,Glenview,Cook,Illinois,0.0523,Clinton,Industrials,Industrial Machinery
Illumina Inc,-0.0005,San Diego,San Diego,California,0.1703,Clinton,Health Care,Life Sciences Tools & Services
Intel Corp.,-0.0009,Santa Clara,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductors
Intercontinental Exchange,0.7657,Atlanta,Fulton,Georgia,0.1495,Clinton,Financials,Diversified Financial Services
International Bus. Machines,-0.0012,Armonk,Westchester,New York,0.3277,Clinton,Information Technology,IT Consulting & Other Services
International Paper,0.004,Memphis,Shelby,Tennessee,0.1678,Clinton,Materials,Paper Packaging
Interpublic Group,0.0024,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Advertising
Intl Flavors & Fragrances,-0.0032,New York,Rockland,New York,0.0509,Clinton,Materials,Specialty Chemicals
Intuit Inc.,-0.0008,Mountain View,Santa Clara,California,0.5238,Clinton,Information Technology,Internet Software & Services
Intuitive Surgical Inc.,-0.0076,Sunnyvale,Santa Clara,California,0.5238,Clinton,Health Care,Health Care Equipment
Invesco Ltd.,0.006,Atlanta,Fulton,Georgia,0.1495,Clinton,Financials,Asset Management & Custody Banks
Iron Mountain Incorporated,-0.0113,Boston,Suffolk,Massachusetts,0.2699,Clinton,Real Estate,REITs
J. B. Hunt Transport Services,0.004,Lowell,Benton,Arkansas,0.1287,Clinton,Industrials,Trucking
JM Smucker,-0.0037,Orrville,Wayne,Ohio,0.1937,Clinton,Consumer Staples,Packaged Foods & Meats
JPMorgan Chase & Co.,0.0084,New York,Rockland,New York,0.0509,Clinton,Financials,Banks
Jacobs Engineering Group,0.0144,Pasadena,Los Angeles,California,0.4805,Clinton,Industrials,Industrial Conglomerates
Johnson & Johnson,-0.0086,New Brunswick,Middlesex,New Jersey,0.0513,Clinton,Health Care,Health Care Equipment
Johnson Controls,-0.0076,Milwaukee,Milwaukee,Wisconsin,0.3745,Clinton,Consumer Discretionary,Building Products
Juniper Networks,0.0028,Sunnyvale,Santa Clara,California,0.5238,Clinton,Information Technology,Networking Equipment
KLA-Tencor Corp.,0.0023,Milpitas,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductor Equipment
Kansas City Southern,-0.0025,Kansas City,Jackson,Missouri,0.3321,Clinton,Industrials,Railroads
Kellogg Co.,-0.0059,Battle Creek,Calhoun,Michigan,0.1946,Clinton,Consumer Staples,Packaged Foods & Meats
KeyCorp,0.0115,Cleveland,Cuyahoga,Ohio,0.35,Clinton,Financials,Banks
Kimberly-Clark,-0.0027,Irving,Dallas,Texas,0.1075,Clinton,Consumer Staples,Household Products
Kimco Realty,-0.0006,New Hyde Park,Nassau,New York,0.2229,Clinton,Real Estate,REITs
Kinder Morgan,-0.0045,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Refining & Marketing & Transportation
Kraft Heinz Co,-0.0056,Pittsburgh,Allegheny,Pennsylvania,0.1641,Clinton,Consumer Staples,Packaged Foods & Meats
Kroger Co.,0.016,Cincinnati,Hamilton,Ohio,0.3213,Clinton,Consumer Staples,Food Retail
L Brands Inc.,0.0066,Columbus,Franklin,Ohio,0.1909,Clinton,Consumer Discretionary,Apparel Retail
L-3 Communications Holdings,0.0003,New York,Rockland,New York,0.0509,Clinton,Industrials,Industrial Conglomerates
LKQ Corporation,0.0025,Chicago,Cook,Illinois,0.0523,Clinton,Consumer Discretionary,Distributors
Lam Research,-0.0003,Fremont,Alameda,California,0.6443,Clinton,Information Technology,Semiconductor Equipment
Leggett & Platt,0.0033,Carthage,Jasper,Missouri,0.2444,Clinton,Industrials,Industrial Conglomerates
Lennar Corp.,-0.0003,Miami,Miami-Dade,Florida,0.2957,Clinton,Consumer Discretionary,Homebuilding
Leucadia National Corp.,0.0053,New York,Rockland,New York,0.0509,Clinton,Financials,Multi-Sector Holdings
Level 3 Communications,-0.0009,Broomfield,Jefferson,Colorado,0.0523,Clinton,Telecommunications Services,Alternative Carriers
Lilly (Eli) & Co.,-0.0063,Indianapolis,Marion,Indiana,0.2737,Clinton,Health Care,Pharmaceuticals
Linear Technology Corp.,0.0027,Milpitas,Santa Clara,California,0.5238,Clinton,Information Technology,Semiconductors
Lockheed Martin Corp.,0.0107,Bethesda,Montgomery,Maryland,0.0016,Clinton,Industrials,Aerospace & Defense
Loews Corp.,0.0012,New York,Rockland,New York,0.0509,Clinton,Financials,Multi-Sector Holdings
M&T Bank Corp.,0.005,Buffalo,Erie,New York,0.0243,Clinton,Financials,Banks
Macerich,0.003,Santa Monica,Los Angeles,California,0.4805,Clinton,Real Estate,Retail REITs
Macy's Inc.,0.0068,Cincinnati,Hamilton,Ohio,0.3213,Clinton,Consumer Discretionary,Department Stores
Marathon Oil Corp.,-0.0059,Houston,Harris,Texas,0.1857,Clinton,Energy,Oil & Gas Exploration & Production
Marathon Petroleum,-0.0038,Findlay,Hancock,Ohio,0.0719,Clinton,Energy,Oil & Gas Refining & Marketing & Transportation
Marriott Int'l.,-0.0001,Bethesda,Montgomery,Maryland,0.0016,Clinton,Consumer Discretionary,Hotels / Resorts & Cruise Lines
Marsh & McLennan,-0.0042,New York,Rockland,New York,0.0509,Clinton,Financials,Insurance Brokers
Martin Marietta Materials,-0.0073,Raleigh,Wake,North Carolina,0.205,Clinton,Materials,Construction Materials
Masco Corp.,-0.0017,Taylor,Wayne,Michigan,0.1937,Clinton,Industrials,Building Products
Mastercard Inc.,-0.0091,Harrison,Westchester,New York,0.3277,Clinton,Information Technology,Internet Software & Services
Mattel Inc.,0.0036,El Segundo,Los Angeles,California,0.4805,Clinton,Consumer Discretionary,Leisure Products
McDonald's Corp.,0.0028,Oak Brook,DuPage,Illinois,0.1408,Clinton,Consumer Discretionary,Restaurants
McKesson Corp.,0.0007,San Francisco,San Mateo,California,0.5721,Clinton,Health Care,Health Care Distributors
Mead Johnson,-0.0032,Glenview,Cook,Illinois,0.0523,Clinton,Consumer Staples,Packaged Foods & Meats
MetLife Inc.,0.0036,New York,Rockland,New York,0.0509,Clinton,Financials,Life & Health Insurance
Mettler Toledo,-0.0145,Columbus,Franklin,Ohio,0.1909,Clinton,Health Care,Life Sciences Tools & Services
Michael Kors Holdings,-0.019,New York,Rockland,New York,0.0509,Clinton,Consumer Discretionary,Apparel / Accessories & Luxury Goods
Microsoft Corp.,-0.0061,Redmond,King,Washington,0.5052,Clinton,Information Technology,Systems Software
Mid-America Apartments,-0.0074,Memphis,Shelby,Tennessee,0.1678,Clinton,Real Estate,Residential REITs
Mohawk Industries,-0.0189,Amsterdam,Montgomery,New York,0.0016,Clinton,Consumer Discretionary,Home Furnishings
Molson Coors Brewing Company,-0.012,Denver,Jefferson,Colorado,0.0523,Clinton,Consumer Staples,Brewers
Monster Beverage,-0.231,Corona,Riverside,California,0.0255,Clinton,Consumer Staples,Soft Drinks
